Game ,Description,Age Rating,Tags
100 DAYS IN ISOLATION,"🆕 Wrecked SEASON UPDATE 🆕🧟 Survive 100 Days 🧟🍿 Reference to the MrBeast channel🍿❓ Updated MYSTERY BOX❓🔥 Perks & NITRO 🔥💥 Action PVE with Friends 💥🌟 Creative 2.0 | UEFN 🌟📝 Feedback, @Gold_Studio_",Teen / 12,"creatures, action, survival horror, pve, "
高性能 1v1,1v1 Build Fight,Teen / 12,"1v1, practice, "
PANDVIL Box Fight (3v3) 📦,"🔸🟢Made By PANDVIL🔸(4 vs 4) Box Fight Matchmaking🔸Near 0 wait between rounds🔸Ranks, Cosmetics and much more🔸When eliminated spectate OR parkour🔸LIFETIME WIN & ELIMINATION leaderboards",Teen / 12,"boxfight, practice, trios, 3v3, "
Gacha PvP Battle -ガチャ乱闘場-,Draw Gachas and Get Weapons /ガチャを引いて武器をゲット!Get coins by Eliminating Player /敵を倒してコインをゲット!,Teen / 12,"battle, battle royale, pvp,"
Martoz 1v1 Build Fights📝,1v1 with no terrain 📝,Teen / 12,"1v1, pvp, practice, building, "
🍔BURGER💥ONE SHOT🔫GUN GAME,"Show everyone your strength on this juicy and delicious map, which is full of secrets! You can play alone against bots until players join in.💥ELIMINATE YOUR OPPONENTS💥❓SEARCH FOR SECRETS❓⭐COMPLETE QUESTS⭐🎁PICK UP ITEMS🎁🎯TRAIN YOUR AIM🎯🥳AND HAVE FUN🥳🔫PVP/PVE⭐QUESTS❓SECRETS",Teen / 12,"gun game, pvp, one shot, attack, "
OnlyUp Fortnite! 🌄,"OnlyUp Fortnite, with an Altitude Meter and Timer! 🚀If you fall, you restart from the beginning... 😱Don't fall and reach the top by passing every season of Fortnite Chapter 1! 🌄",Everyone / 3,"deathrun, just for fun, parkour, escape,"
HORROR BACKROOMS SURVIVAL,"Try to survive 100 days against backrooms monsters, earn gold, buy weapons and power-up, and face a final boss.",Teen / 12,"horror, creatures, party game, survival, "
MAFIA TYCOON 🔥,👑 Build the best Secret Mafia Base🖤 Become the main Boss in the world🔥 Explore various locations and unlock new ones!🍀 Buy stylish Pets💼 Find all the secrets,Teen / 12,"simulator, tycoon, casual, just for fun, "
🐐 GO GOATED! Zone Wars 🌀 *NEW WEAPONS*,🐐 4 Teams Battle 🐐🌀 Classic Zone Wars Game 🌀👥Select Your Team👥💾 Eliminations Save 💾,Teen / 7,"practice, pvp, zonewars,"
BOX PVP 📦,❗️ NEW! MYTHIC HAVOC MODE📦 CLASSIC BOX FIGHT🐠 BOXED LIKE A FISH🤯 200 PUMP IS BACK🏆 WINNER GETS GOLD PUMP💾 ELIMS AND WINS SAVE,Teen / 12,"boxfight, practice, pvp,"
KILLER TYCOON 🔪,🔺 Level System & Mission System😳 Unlock different Masks to wear for killing Victims in the City!❓ Complete unique Missions to obtain special items!🚗 Buy Custom Supercars and Mobile Killers!🔥 Open the Ultra Portal to become the Tycoon King!🌎 Explore the Open World with the Subway!📱 Spawn your own Mobile Killers on the map to get more Victims!🔴 Hack the Bank System or open the vault in the bank!😍 Can you find all the secrets?🚁 Build your own Helicopter to find new secrets!,Teen / 12,"casual, just for fun, tycoon, simulator,"
Bed Wars,👥 Teams of Three🛌 Destroy Opponent's Beds🛡️ Protect Your Bed💎 Upgrade Your Base With Diamonds,Teen / 7,"tycoon, base, pvp, trios,"
SPEED REALISTICS 1v1 [RAPID],THE BEST SOLO FIGHTING PRACTICE✔0 WAIT TIME✔WEAPON VOTING✔REALISTIC FIGHTS✔UPDATED LOOTPOOL✔LEADERBOARD UPDATESFIND OPPONENTS THROUGH MATCHMAKING,Teen / 12,"1v1, practice, boxfight, training, "
MEGA RED VS BLUE 🔴🔵,🔫 All Weapons & Items and Vault🏆 Rank up from Bronze to Unreal💥 Play with Friends to have more fun📀 10 Gold Coins per Elimination🚩 Capture The Flag for Gold Coins💪 Pick any Amazing Super Power💾 Eliminations and Ranks Save🆕 New All Ch5 Weapons Added,Teen / 12,"team deathmatch, capture the flag, base, action, "
MURDER MYSTERY,👤 Survivors: Survive the Murderer🔪 Murderer: Eliminate all Survivors🔍 Sheriff: Eliminate the Murderer,Teen / 7,"party game, role playing, survival horror,"
MURDER MYSTERY,👤 Survivors: Survive the Murderer🔪 Murderer: Eliminate all Survivors🔍 Sheriff: Eliminate the Murderer,Teen / 7,"party game, role playing, survival horror, "
SKYBOX,SANDBOX IN THE SKY! 😃☀️HIT CHEST!UPGRADE EVERYTHING! 💪BUILD A SKYTOWN! 🏙️EXPLORE A MASSIVE WORLD IN THE SKY🌍,Teen / 7,"creatures, open world, tycoon, pve, "
MINIGAME BOX PVP 📦 50+ Minigames 👑,📦 50+ Minigames:🌋 Rising Lava🌈 Color Switch🛑 Hex-A-Gone🌀 Spin Cycle👻 Invisible💥 Knockback🏃‍♂️ Slow-Mo🎈 Balloon Pop🗳️ VOTE For Your Favorite Game!,Teen / 12,"boxfight, practice, pvp, minigame,"
Endless Zone Wars Ranked,🌀 Never-Ending Zone Wars🕐 Instant Respawns & No Wait Time👑 Custom Crowns & Ranked System🚀 Call in the NUKE🏆 Custom Win Screens & Combat Report💾 Rank & Eliminations Save🧠 MADE IN UEFN & WEEKLY UPDATES,Teen / 12,"zonewars, practice, pvp, free for all, "
"🎯Aim, Edit, Piece Control","Welcome to the ultimate practice map. Improve and practice your aim, edits, piece control and builds with over 100+ drills. Whether you are a pro or a newcomer elevate your Fortnite skills.🚀🧩Piece Control🧩🎯Aim Practice 🎯🎮Editing Practice 🎮👥Duo Aim Duels👥🧱Free Building🧱🏆Improve Your Skills🏆",Teen / 12,"aim course, edit course, practice, minigame, "
TR🤣LL Bed Wars 🛏️,"New season items!4 custom trio teamsWood, Stone, Metal & GoldUpgrade your baseBuy security camera's, power-ups & more👨‍🌾 Created by Fhsupport 👨‍🌾",Teen / 12,"base, tycoon, trios, pvp, "
Default Parkour 425+,🤯 Over 425 SIMPLE Stages🏃‍♂️ Dash! Glide! Ascend!🕵️‍♀️ Discover Secrets🕒 Challenge Your Speed😳 Will You Reach the FINAL Challenge?Explore 425+ EASY Levels!Can You Uncover Every Secret?Created by Omega Creations,Teen / 7,"parkour, deathrun, difficulty: easy, just for fun,"
1v1 Build Fights! [4.6.4],✔ Simplistic 1v1 Map✔ Always Updated✔ Fully AutomaticFind Opponents through matchmaking!,Teen / 12,"1v1, competitive, practice,"
🧟🧟🧟 ZOMBIES DESERT (CO-OP) ⭐⭐⭐,Have fun by Eliminating Zombies! & More!!,Teen / 12,"creatures, open world, pve, survival, "
1v1 Build Fight [Rezon ay],The 1v1 Build Fight Map that has everything you need✔ Optimized & Simplistic✔ Always Updated Weapons✔ Adjustable Health Options + Headshot Only Mode✔ Near 0 wait time between Fights✔ Custom Backgrounds✔ Fully Automatic✔ Built with UEFN & VerseCreated by Heavyblue,Teen / 12,"1v1, building, practice, competitive, "
👑 SIGMA BOXFIGHTS 📦,🎮 Play as Your Favorite Sigma18 Unique Sigma Powers:👑 KING BALDWIN - Freeze All Players with Hand⛓️JOE GOLDBERG - Cage the Nearest Player🦸GOGGINS - Phase Through Walls⏰ELON MUSK - Travel Back in Timeand so much more!,Teen / 7,"boxfight, pvp, practice, heroes,"
BUNKER TYCOON [CO-OP],💥 Build Secret Underground Bunker (OVER 10 FLOORS)🧟‍♀️ Go Outside and Eliminated Zombies!🤿 Purchase Masks🎯 Rise up in SURVIVOR LVL's🔫 Upgrade Your Weapons & Masks!🤫 Unlock Secrets💾 Rebirth and Re-Play FOREVER!,Teen / 12,"tycoon, creatures, simulator, just for fun, "
Save The World,"Battle to hold back the monster hordes and explore a vast, destructible world. Build huge forts, craft weapons, find loot and level up.",Teen / 12,"pve,"
DON'T PRESS THE BUTTON,"Welcome to Don't Press The Button! There is a button in the middle of nowhere, the button is in your power to use, will you go rogue and press it or will you follow the rules and not press the button?What chaos can the button cause?☄️ Current Stages: 80Recent Update 05/30New Ranked System Content Update out now!4 New Stages:- Megalo Don's Throne- Nine Ways- Laser Monster- Mini DeathrunI will always provide updates frequently, make sure to check often so you don't miss something.",Teen / 12,"just for fun, minigame, party game, casual, "
Piece Control 1v1 🎯,🔫 BRAND NEW LOADOUTS🏗️ BRAND NEW COURSES🥇 Leaderboard📝 Intense Boxfight Piece Control Scenarios🏆 Career Leaderboard/ Arena Points🎮 Piece control courses built by competitive pro AVFN🎯 Best practice in the game,Teen / 12,"practice, 1v1, boxfight, pvp, "
FARMLIFE4🌾,🧑‍🌾 Farm Tycoon!🐔🐮 Milk Cows ! ⭐🚜 Load Trucks! 🚜🏠 Place Furniture! ✔🐠 Fishing! 👀🔥 Mining and Smelting 📦📈 Build Your Dream Farm! 🌾💾 Saves Progress! 🔄- Patch Notes v8-- Fixed npc spawners not spawning after 29.30- Changed colors on map indicators,Teen / 7,"tycoon, pve, farming simulator, co-op,"
TILTED ZONE WARS ⭐,⭐ Classic Solo Zone Wars ⭐⭐ Fun Loot & Items ⭐⭐ Name Tags ON ⭐⭐ Nostalgic ⭐,Teen / 12,"practice, zonewars, pvp, free for all,"
🦸 HEROES GO GOATED 🌀,🦸 Random Heroes 🦸🐐 4 Teams Battle 🐐🌀 Classic Zone Wars Game 🌀👥Select Your Team👥,Teen / 12,"practice, pvp, zonewars, "
FORTKEA PROP HUNT 🛒,"Welcome to the Fortkea Prop Hunt! 🛒Props hide in the Fortkea building, blending in with their surroundings to avoid the Seekers. Seekers must find and eliminate the Props before time runs out. If a Prop is eliminated, they will become a Seeker.🏙️ Props vs Seekers🔈Custom Taunting Meme Sounds👥 2-16 Players🪙 Collect Coins😂SUPER FUN✔️ Creative 2.0 / UEFN🆕 Constantly Updated",Teen / 12,"minigame, party game, just for fun, prop hunt,"
The Pit - Zero Build,⭐ Infinite Respawn🚫 No Building📀 5 Coins per Elimination🔫 All Weapons,Teen / 12,"free for all, respawn, just for fun, action,"
BHE 1V1 BUILD FIGHTS عاركني بالبناء 戦い💎,FFA Build Fights 🏗️1v1 box fights 📦fast action ⏰build reset 💣built in UEFN,Teen / 12,"1v1, practice, boxfight,"
SPEED REALISTICS 1v1 [RAPID],THE BEST SOLO FIGHTING PRACTICE✔0 WAIT TIME✔WEAPON VOTING✔REALISTIC FIGHTS✔UPDATED LOOTPOOL✔LEADERBOARD UPDATESFIND OPPONENTS THROUGH MATCHMAKING,Teen / 12,"1v1, practice, boxfight, training,"
1v1 With Every Gun 🔫,👤 24 Player Free-For-All🚁 All Weapons and Vehicles💾 Eliminations Save🆕 Updated Weekly,Teen / 12,"free for all, practice, pvp, respawn, "
FARMLIFE4🌾,"🧑‍🌾 Farm Tycoon!🐔🐮 Milk Cows ! ⭐🚜 Load Trucks! 🚜🏠 Place Furniture! ✔🐠 Fishing! 👀🔥 Mining and Smelting 📦📈 Build Your Dream Farm! 🌾💾 Saves Progress! 🔄- Patch Notes v10-- New save method (Old saves are lost, Sorry!)- Quests are redon",Teen / 7,"tycoon, farming simulator, co-op, casual, "
CRAZY RED VS BLUE 🔴🔵,🔫 All Weapons✅ Very Fun Red Vs Blue🔥 10 Coins Per Elimination✅ Custom Scoreboard💾 SAVES Eliminations🆕 CHAPTER 5 WEAPONS,Teen / 12,"team deathmatch, practice, pvp,"
💯 RED VS BLUE 🥶 RUMBLE,🆕 New All Ch5 Weapons Added🔵 ENDLESS TEAM DEATHMATCH COMBAT🔴 POWERUPS AND SECRETS 👀🏆 Rank up from BRONZE to UNREAL📀 50 Gold Coins per Elimination🔒 OP Vault💾 Eliminations and Ranks Save,Teen / 12,"team deathmatch, capture the flag, base, action,"
FARMLIFE4🌾,"🧑‍🌾 Farm Tycoon!🐔🐮 Milk Cows ! ⭐🚜 Load Trucks! 🚜🏠 Place Furniture! ✔🐠 Fishing! 👀🔥 Mining and Smelting 📦📈 Build Your Dream Farm! 🌾💾 Saves Progress! 🔄- Patch Notes v10-- New save method (Old saves are lost, Sorry!)- Quests are redon",Teen / 7,"tycoon, farming simulator, co-op, casual,"
Rapid Realistics 2v2 🎯(speed),🌄 25 Realistic Scenarios🕒 No Wait Time Between Rounds🎯 Best practice in the game,Teen / 12,"duo, pvp, practice, zonewars,"
PANDVIL Box Fight (2v2) 📦,"🔸🟢Made By PANDVIL🔸(2 vs 2) Box Fight Matchmaking🔸Near 0 wait between rounds🔸Ranks, Cosmetics and much more🔸When eliminated spectate OR parkour🔸LIFETIME WIN & ELIMINATION leaderboards",Teen / 12,"boxfight, practice, duo, 2v2, "
⭐CUSTOM WEAPONS🔫 GUN GAME,⚔️10 CUSTOM WEAPONS⚔️🏙️TILTED GUN GAME🏙️🎯ONESHOT🎯🏆RANK UP TO UNREAL🏆⭐COMPLETE QUESTS⭐😎SUPER FUN😎🎉BECOME THE BEST AMONG 20 PLAYERS🎉,Teen / 12,"pvp, free for all, just for fun, gun game,"
💖Bio's TRIO - Zone Wars🌀,"Play the legendary Bios Trio Zone Wars, the completely free 15 player Zone Wars mode.One clean map, Many cool features, Last team standing wins!❗LATEST UPDATE❗👒🐵👟 ADDED COSMETICS 👖👕🎩🗝️Secret vault🗝️❗Features❗🆕Daily rewards🆕❌Respawn disabled❌📄Achievements📄📲Community voting📲👑Recieve a crown for the win👑🕺Automatic team selection🕺🛠️Customize weapons🛠️🌀5 teams🌀💥Choose your team💥🔀Random weapons and items + vending mashines🔀💾Eliminations save💾",Teen / 12,"zonewars, practice, trios, pvp,"
⭐CUSTOM WEAPONS🔫 GUN GAME,⚔️10 CUSTOM WEAPONS⚔️🏙️TILTED GUN GAME🏙️🎯ONESHOT🎯🏆RANK UP TO UNREAL🏆⭐COMPLETE QUESTS⭐😎SUPER FUN😎🎉BECOME THE BEST AMONG 20 PLAYERS🎉,Teen / 12,"pvp, free for all, just for fun, gun game, "
🎯ONE SHOT GUN GAME ⚔️ AIM,⚔️PVP/PVE⚔️⭐QUESTS⭐❓SECRETS❓🔫INFINITE WEAPONS🔁ENDLESS ROUNDS⏰INFINITE TIME🥳ENDLESS FUN🎯TRAIN YOUR AIM🕶️FIGHT THE BOTS🎉BECOME THE BEST AMONG 12 PLAYERS🎉,Teen / 12,"gun game, one shot, pvp, training,"
